,Year,FirstServe,FirstServePointsWon,FirstServeReturnPointsWon,SecondServePointsWon,SecondServeReturnPointsWon,Aces,BreakPointsConverted,BreakPointsFaced,BreakPointsOpportunities,BreakPointsSaved,DoubleFaults,ReturnGamesPlayed,ReturnGamesWon,ReturnPointsWon,ServiceGamesPlayed,ServiceGamesWon,TotalPointsWon,TotalServicePointsWon,Wins,Losses,Winnings,Ranking
Year,1.0,0.05140613049746919,-0.01672837767191164,-0.1067841961172581,0.0053003627518953,-0.039087165529256965,-0.10836700665331331,-0.07240362813236322,-0.10173452901992601,-0.11480605304948235,-0.0061538607631053096,-0.07188493836820936,-0.10840486285620314,-0.07325625066592403,-0.07822913672017139,-0.10847716736788286,-0.008929988832730901,-0.04178965079186459,-0.005543609578798145,-0.10823507148605563,-0.0771811872061143,0.043908051068873924,-0.04048321827287175
FirstServe,0.05140613049746919,1.0,-0.07065912488393367,0.025487891324198056,0.1014165804263463,-0.0019239145518440632,0.048148965645610844,-0.018877143394249073,0.05770868841768431,0.062344796651399415,0.08794548729416728,-0.0054773870070621575,0.07177616681082334,-0.010676057100339406,0.004188784917061926,0.07191953542855989,0.13747298451122578,0.1483488360585205,0.18099572312110448,0.06483207778247921,0.053736051077601994,0.05788214662085208,-0.06875861131845683
FirstServePointsWon,-0.01672837767191164,-0.07065912488393367,1.0,0.021729425085257496,0.32076503371276543,-0.004724411084063318,0.46032317695879177,-0.041538333856142126,0.301924958809441,0.3248533693560796,0.40575146766127046,0.3733207120556398,0.37546461355214605,-0.010192745536960824,-0.0027933811350918407,0.37645955662224256,0.8178287112536617,0.6487527495856211,0.8600328404588393,0.3567016288756446,0.3305809897996183,0.36112105949289974,-0.15000394867000427
FirstServeReturnPointsWon,-0.1067841961172581,0.025487891324198056,0.021729425085257496,1.0,0.07270669428062321,0.3012653135571776,0.1401646289169939,0.32405688732874266,0.29572367647970826,0.31333824769791463,0.04834660453272275,0.24459158354692317,0.2618712973780549,0.7574345362894392,0.8342667785711294,0.2612064819485052,0.09131936726823242,0.49668159347050284,0.052335198188387305,0.25602899947226415,0.24327847875776634,0.24080834046115288,-0.17866426231103438
SecondServePointsWon,0.0053003627518953,0.1014165804263463,0.32076503371276543,0.07270669428062321,1.0,0.10358361445253068,0.2662685330179634,0.05275519694331358,0.2586911058982412,0.27778210288535055,0.34014670009412284,0.23594086947281454,0.2964802607858663,0.09662161706996979,0.0955847210609086,0.2968093960794472,0.6507635717657084,0.62267274703838,0.7130764722001979,0.2689786995380068,0.2509178795903489,0.2812148088288473,-0.18101292289365323
SecondServeReturnPointsWon,-0.039087165529256965,-0.0019239145518440632,-0.004724411084063318,0.3012653135571776,0.10358361445253068,1.0,0.09549374080303634,0.2644134956172311,0.23421223692323528,0.24958314975029125,0.07386706390298253,0.19323337845346358,0.2099373912982195,0.6037552628073317,0.7273378166829702,0.20952118093408764,0.09655265212872431,0.40897510801518616,0.05500416626219906,0.1930926629388326,0.18521712388123435,0.19940129736079046,-0.1595921118461223
Aces,-0.10836700665331331,0.048148965645610844,0.46032317695879177,0.1401646289169939,0.2662685330179634,0.09549374080303634,1.0,0.03718766227083414,0.7574048474805964,0.7849337273857343,0.2826716461588176,0.8190307199356294,0.8636484330028076,0.13998738422993165,0.13802319766636123,0.8661379444336128,0.4409216719292561,0.42867879566617045,0.4721011439686369,0.8253011922488656,0.7686283347845073,0.7984043540699404,-0.2778112907404095
BreakPointsConverted,-0.07240362813236322,-0.018877143394249073,-0.041538333856142126,0.32405688732874266,0.05275519694331358,0.2644134956172311,0.03718766227083414,1.0,0.09636848644532532,0.08650173750489414,-0.01595614482222394,0.07531982084449092,0.08315511342043509,0.5617586172279643,0.387169919571962,0.08318165186227465,-0.025669747125354078,0.255050209393476,-0.007253784262926739,0.07698919220342929,0.062296630482350214,0.07502218831566927,-0.051005104239102636
BreakPointsFaced,-0.10173452901992601,0.05770868841768431,0.301924958809441,0.29572367647970826,0.2586911058982412,0.23421223692323528,0.7574048474805964,0.09636848644532532,1.0,0.9733518146362177,0.27178329333413465,0.9176448093277484,0.972449387805564,0.335204889086765,0.33104336248889343,0.9712957412806482,0.35401168251966475,0.4631101159004635,0.3540050843191427,0.8834699298437789,0.9433086885312048,0.8760356989199072,-0.32208209803052423
BreakPointsOpportunities,-0.11480605304948235,0.062344796651399415,0.3248533693560796,0.31333824769791463,0.27778210288535055,0.24958314975029125,0.7849337273857343,0.08650173750489414,0.9733518146362177,1.0,0.2479961151762749,0.9063910481135165,0.9788239259851796,0.3584833030915376,0.35278318778670315,0.9782777279402988,0.37227085288626016,0.491197813895984,0.3807160055306543,0.9234533173669724,0.9092952673707873,0.9004439010037795,-0.3345483369412154
BreakPointsSaved,-0.0061538607631053096,0.08794548729416728,0.40575146766127046,0.04834660453272275,0.34014670009412284,0.07386706390298253,0.2826716461588176,-0.01595614482222394,0.27178329333413465,0.2479961151762749,1.0,0.26481846602212306,0.27427172691738927,0.04612740357839716,0.05431665101399574,0.27467665368098976,0.5180906890073671,0.4643795191193475,0.47614265937885886,0.2520527701433836,0.24698959225555397,0.2582707718865988,-0.12121964367708192
DoubleFaults,-0.07188493836820936,-0.0054773870070621575,0.3733207120556398,0.24459158354692317,0.23594086947281454,0.19323337845346358,0.8190307199356294,0.07531982084449092,0.9176448093277484,0.9063910481135165,0.26481846602212306,1.0,0.9257627507059945,0.2742254688965819,0.2712986815099202,0.9258793374257891,0.37868578557905214,0.4466699889103817,0.38337886237996427,0.8474593354009959,0.8819221007707454,0.8546851784438947,-0.30586627236039937
ReturnGamesPlayed,-0.10840486285620314,0.07177616681082334,0.37546461355214605,0.2618712973780549,0.2964802607858663,0.2099373912982195,0.8636484330028076,0.08315511342043509,0.972449387805564,0.9788239259851796,0.27427172691738927,0.9257627507059945,1.0,0.2944698147948376,0.29178167927316384,0.9998415393969228,0.41782525154212546,0.4883510173127098,0.428758626354479,0.9284076225806646,0.9367552157905914,0.9126126236635055,-0.33147813720669367
