,Features,Score,coeff_r
0,SecondServeReturnPointsWon_Aces_BreakPointsOpportunities_TotalServicePointsWon,0.8861828377614146,0.9431295316030373
1,Aces_BreakPointsOpportunities_ReturnGamesWon_TotalServicePointsWon,0.8800434641830968,0.9382290626779982
2,Aces_BreakPointsOpportunities_BreakPointsSaved_ReturnGamesWon,0.8787214985295886,0.9380827207593644
3,SecondServePointsWon_BreakPointsConverted_BreakPointsOpportunities_BreakPointsSaved,0.8760014210948455,0.9366982489564536
4,FirstServePointsWon_FirstServeReturnPointsWon_BreakPointsOpportunities_TotalServicePointsWon,0.8742739234682005,0.9364144462397813
5,SecondServeReturnPointsWon_BreakPointsConverted_BreakPointsOpportunities_TotalPointsWon,0.8738365682476743,0.934998008335451
6,Aces_BreakPointsOpportunities_TotalPointsWon_TotalServicePointsWon,0.8708982468807779,0.9332655066329112
7,Aces_BreakPointsOpportunities_ReturnPointsWon_TotalServicePointsWon,0.8707580346296776,0.933251332174095
8,FirstServeReturnPointsWon_SecondServePointsWon_BreakPointsOpportunities_BreakPointsSaved,0.870582661369794,0.9382823897371343
9,FirstServePointsWon_BreakPointsConverted_BreakPointsOpportunities_ReturnPointsWon,0.8689291606790113,0.9325742061131308
10,Aces_BreakPointsOpportunities_ServiceGamesWon_TotalPointsWon,0.8673445861689035,0.9331200320809869
11,SecondServePointsWon_BreakPointsOpportunities_ReturnGamesWon_ServiceGamesWon,0.8670141161894791,0.9322427840482648
12,FirstServePointsWon_BreakPointsConverted_BreakPointsOpportunities_TotalPointsWon,0.8664258261911777,0.9327887550952163
13,SecondServeReturnPointsWon_BreakPointsOpportunities_ReturnGamesWon_ReturnPointsWon,0.866210133563668,0.9324203575998589
14,FirstServePointsWon_SecondServePointsWon_SecondServeReturnPointsWon_BreakPointsOpportunities,0.8647278639038148,0.9300410359273341
15,BreakPointsOpportunities_BreakPointsSaved_ReturnGamesWon_ServiceGamesWon,0.8637990249072705,0.9297094841542414
16,FirstServeReturnPointsWon_BreakPointsOpportunities_ReturnPointsWon_ServiceGamesWon,0.8631086666922729,0.9290805249144396
17,BreakPointsConverted_BreakPointsOpportunities_ReturnPointsWon_TotalServicePointsWon,0.8627375628476359,0.928874647697703
