,Features,Score,coeff_r
0,Aces_BreakPointsOpportunities_ServiceGamesWon,0.8781384905564695,0.938519847430451
1,Aces_BreakPointsOpportunities_ReturnGamesWon,0.8774379573222317,0.9392998674892753
2,SecondServePointsWon_BreakPointsOpportunities_TotalPointsWon,0.866896719551487,0.9312504442769993
3,FirstServeReturnPointsWon_BreakPointsOpportunities_ServiceGamesWon,0.8659658833065604,0.9307670459078461
4,SecondServeReturnPointsWon_BreakPointsOpportunities_ReturnPointsWon,0.8651347380388538,0.9304213057546693
5,FirstServeReturnPointsWon_BreakPointsOpportunities_ReturnPointsWon,0.8643069193502968,0.9298033700125905
6,FirstServeReturnPointsWon_Aces_BreakPointsOpportunities,0.8610064238264227,0.9282483742136184
7,BreakPointsOpportunities_ReturnPointsWon_TotalPointsWon,0.8608565351037982,0.9282547268995314
8,SecondServePointsWon_BreakPointsOpportunities_ReturnGamesWon,0.8569063533563739,0.9266903582141129
9,BreakPointsOpportunities_BreakPointsSaved_ReturnGamesWon,0.8523193616242738,0.9233323184768242
10,BreakPointsOpportunities_ReturnPointsWon_TotalServicePointsWon,0.8519367854444737,0.92335667610355
11,BreakPointsOpportunities_BreakPointsSaved_ServiceGamesWon,0.8497837997864249,0.9226272626137664
12,SecondServePointsWon_BreakPointsOpportunities_BreakPointsSaved,0.845966712505209,0.9206352299600826
13,SecondServePointsWon_BreakPointsConverted_BreakPointsOpportunities,0.8452204234782856,0.9212530587001528
14,Aces_BreakPointsConverted_BreakPointsOpportunities,0.8440046747916845,0.9199727284638619
15,SecondServePointsWon_Aces_BreakPointsOpportunities,0.8430248926116626,0.9185094838228699
16,SecondServePointsWon_SecondServeReturnPointsWon_BreakPointsOpportunities,0.842343097338668,0.9185013261552489
17,BreakPointsOpportunities_ReturnPointsWon_ServiceGamesWon,0.8402673627149566,0.9170950240491348
